line_no	start_ms	start_s	matched	text	act	measure
9	0	0.000	1	Langsam, Wozzeck, langsam! Eins nach dem Andern!	1	1
11	37060	37.060	1	Er macht mir ganz schwindlich.	1	8
13	43440	43.440	1	Was soll ich denn mit den zehn Minuten anfangen, die Er heut' zu früh fertig wird?	1	11
15	51120	51.120	1	Wozzeck, bedenk' Er, Er hat noch seine schönen dreissig Jahr' zu leben! Dreissig Jahre: macht dreihundert und sechzig Monate und erst wieviel Tage, Stunden, Minuten! Was will Er denn mit der ungeheuren Zeit all' anfangen?	1	14
17	73020	73.020	1	Teil' Er sich ein, Wozzeck!	1	24
20	76760	76.760	1	Jawohl, Herr Hauptmann!	1	25
24	86640	86.640	1	Es wird mir ganz angst um die Weit, wenn ich an die Ewigkeit denk'. »Ewig«, das ist ewig! Das sieht Er ein. Nun ist es aber wieder nicht ewig, sondern ein Augenblick, ja, ein Augenblick! - Wozzeck, es schaudert mich, wenn ich denke, dass sich die Welt in einem Tag herumdreht: drum kann ich auch kein Mühlrad mehr sehn, oder ich werde melancholisch!	1	29
27	143920	143.920	1	Jawohl, Herr Hauptmann!	1	49
30	146560	146.560	1	Wozzeck, Er sieht immer so verhetzt aus! Ein guter Mensch tut das nicht. Ein guter Mensch, der sein gutes Gewissen hat, tut alles langsam ... Red' Er doch was, Wozzeck. Was ist heut für ein Wetter?	1	49
33	209200	209.200	1	Sehr schlimm, Herr Hauptmann! Wind!	1	67
36	215780	215.780	1	Ich spür's schon, 's ist so was Geschwindes draussen; so ein Wind macht mir den Effekt, wie eine Maus.	1	72
38	228320	228.320	1	Ich glaub', wir haben so was aus Süd-Nord?	1	83
41	234145	234.145	1	Jawohl, Herr Hauptmann!	1	87
45	239136	239.136	1	Süd-Nord!	1	91
47	244560	244.560	1	Oh, Er ist dumm, ganz abscheulich dumm!	1	96
49	263480	263.480	1	Wozzeck, Er ist ein guter Mensch,	1	109
51	268000	268.000	1	aber ... Er hat keine Moral!	1	111
53	275273	275.273	1	Moral: das ist, wenn man moralisch ist! Versteht Er? Es ist ein gutes Wort.	1	114
55	286200	286.200	1	Er hat ein Kind ohne den Segen der Kirche ...	1	118
